Periode,Indikator_IKPA,Target_Angka,Realisasi_Angka,Rumus_Perhitungan_Baku,Hasil_Kalkulasi_Manual_Atasan,Status_Capaian
"Triwulan I","IKU-01 - Persentase Perkara yang Diselesaikan Tepat Waktu",100,80,"(Realisasi/Target) x 100%",80%,Cukup
"Triwulan II","IKU-01 - Persentase Perkara yang Diselesaikan Tepat Waktu",100,103,"(Realisasi/Target) x 100%",103%,"Sangat Baik"
"Triwulan III","IKU-01 - Persentase Perkara yang Diselesaikan Tepat Waktu",100,97,"(Realisasi/Target) x 100%",97%,Baik
"Triwulan IV","IKU-01 - Persentase Perkara yang Diselesaikan Tepat Waktu",100,104,"(Realisasi/Target) x 100%",104%,"Sangat Baik"
"Triwulan I","IKU-02 - Persentase Putusan yang Tidak Ada Kesalahan Administrasi",100,98,"(Realisasi/Target) x 100%",98%,Baik
"Triwulan II","IKU-02 - Persentase Putusan yang Tidak Ada Kesalahan Administrasi",100,82,"(Realisasi/Target) x 100%",82%,Cukup
"Triwulan III","IKU-02 - Persentase Putusan yang Tidak Ada Kesalahan Administrasi",100,92,"(Realisasi/Target) x 100%",92%,Baik
"Triwulan IV","IKU-02 - Persentase Putusan yang Tidak Ada Kesalahan Administrasi",100,98,"(Realisasi/Target) x 100%",98%,Baik
"Triwulan I","IKU-03 - Persentase Perkara e-Court",50,37.5,"(Realisasi/Target) x 100%",75%,Cukup
"Triwulan II","IKU-03 - Persentase Perkara e-Court",50,47,"(Realisasi/Target) x 100%",94%,Baik
"Triwulan III","IKU-03 - Persentase Perkara e-Court",50,57.5,"(Realisasi/Target) x 100%",115%,"Sangat Baik"
"Triwulan IV","IKU-03 - Persentase Perkara e-Court",50,58,"(Realisasi/Target) x 100%",116%,"Sangat Baik"
"Triwulan I","IKU-04 - Persentase Keberhasilan Mediasi",30,24.3,"(Realisasi/Target) x 100%",81%,Cukup
"Triwulan II","IKU-04 - Persentase Keberhasilan Mediasi",30,24.6,"(Realisasi/Target) x 100%",82%,Cukup
"Triwulan III","IKU-04 - Persentase Keberhasilan Mediasi",30,25.8,"(Realisasi/Target) x 100%",86%,Cukup
"Triwulan IV","IKU-04 - Persentase Keberhasilan Mediasi",30,29.7,"(Realisasi/Target) x 100%",99%,Baik
"Triwulan I","IKU-05 - Indeks Kepuasan Masyarakat (IKM)",85,78.2,"(Realisasi/Target) x 100%",92%,Baik
"Triwulan II","IKU-05 - Indeks Kepuasan Masyarakat (IKM)",85,80.75,"(Realisasi/Target) x 100%",95%,Baik
"Triwulan III","IKU-05 - Indeks Kepuasan Masyarakat (IKM)",85,80.75,"(Realisasi/Target) x 100%",95%,Baik
"Triwulan IV","IKU-05 - Indeks Kepuasan Masyarakat (IKM)",85,86.7,"(Realisasi/Target) x 100%",102%,"Sangat Baik"
"Triwulan I","IKU-06 - Indeks Persepsi Anti Korupsi (IPAK)",85,68.85,"(Realisasi/Target) x 100%",81%,Cukup
"Triwulan II","IKU-06 - Indeks Persepsi Anti Korupsi (IPAK)",85,77.35,"(Realisasi/Target) x 100%",91%,Baik
"Triwulan III","IKU-06 - Indeks Persepsi Anti Korupsi (IPAK)",85,79.05,"(Realisasi/Target) x 100%",93%,Baik
"Triwulan IV","IKU-06 - Indeks Persepsi Anti Korupsi (IPAK)",85,90.1,"(Realisasi/Target) x 100%",106%,"Sangat Baik"
"Triwulan I","IKU-07 - Nilai AKIP",80,66.4,"(Realisasi/Target) x 100%",83%,Cukup
"Triwulan II","IKU-07 - Nilai AKIP",80,68,"(Realisasi/Target) x 100%",85%,Cukup
"Triwulan III","IKU-07 - Nilai AKIP",80,81.6,"(Realisasi/Target) x 100%",102%,"Sangat Baik"
"Triwulan IV","IKU-07 - Nilai AKIP",80,83.2,"(Realisasi/Target) x 100%",104%,"Sangat Baik"
"Triwulan I","IKU-08 - Persentase Serapan Anggaran DIPA 01",100,101,"(Realisasi/Target) x 100%",101%,"Sangat Baik"
"Triwulan II","IKU-08 - Persentase Serapan Anggaran DIPA 01",100,88,"(Realisasi/Target) x 100%",88%,Cukup
"Triwulan III","IKU-08 - Persentase Serapan Anggaran DIPA 01",100,100,"(Realisasi/Target) x 100%",100%,"Sangat Baik"
