Triwulan,Kode_IKU,Nama_Indikator,Target,Realisasi,Capaian_Persen,Kategori
Triwulan I,IKU-01,Persentase Perkara yang Diselesaikan Tepat Waktu,100,85,85.00,Cukup
Triwulan I,IKU-02,Persentase Putusan yang Tidak Ada Kesalahan Administrasi,100,98,98.00,Sangat Baik
Triwulan I,IKU-03,Persentase Penyerapan Anggaran DIPA,20,18,90.00,Baik
Triwulan II,IKU-01,Persentase Perkara yang Diselesaikan Tepat Waktu,100,92,92.00,Baik
Triwulan II,IKU-02,Persentase Putusan yang Tidak Ada Kesalahan Administrasi,100,100,100.00,Sangat Baik
Triwulan II,IKU-03,Persentase Penyerapan Anggaran DIPA,50,45,90.00,Baik
Triwulan III,IKU-01,Persentase Perkara yang Diselesaikan Tepat Waktu,100,96,96.00,Sangat Baik
Triwulan III,IKU-02,Persentase Putusan yang Tidak Ada Kesalahan Administrasi,100,99,99.00,Sangat Baik
Triwulan III,IKU-03,Persentase Penyerapan Anggaran DIPA,75,70,93.33,Baik
Triwulan IV,IKU-01,Persentase Perkara yang Diselesaikan Tepat Waktu,100,100,100.00,Sangat Baik
Triwulan IV,IKU-02,Persentase Putusan yang Tidak Ada Kesalahan Administrasi,100,100,100.00,Sangat Baik
Triwulan IV,IKU-03,Persentase Penyerapan Anggaran DIPA,100,99,99.00,Sangat Baik
